2023-03-13 11:05:58
alpha: 0.1    batchsize: 128    dim: 64    epoch: 500    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 0.5    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 100    optimizer: Adam    vmax: 100    vmin: 0.01    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 0
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/500 [00:00<?, ?it/s]
Epoch 39 | postive loss : 2311.34, negtive prim loss : 467.50, negtive defi loss : 577.97, worst lambd: 6272.29, worst prim gap: 0.51, worst defi gap: 0.70:   8%|▊         | 40/500 [01:14<14:09,  1.85s/it]
Epoch 40 | postive loss : 2239.19, negtive prim loss : 457.58, negtive defi loss : 566.93, worst lambd: 6064.67, worst prim gap: 0.51, worst defi gap: 0.78:   8%|▊         | 41/500 [01:16<14:07,  1.85s/it]
Epoch 41 | postive loss : 2170.29, negtive prim loss : 448.20, negtive defi loss : 555.85, worst lambd: 5983.21, worst prim gap: 0.48, worst defi gap: 0.49:   8%|▊         | 42/500 [01:17<14:09,  1.85s/it]
Epoch 42 | postive loss : 2104.32, negtive prim loss : 438.67, negtive defi loss : 544.79, worst lambd: 5704.30, worst prim gap: 0.50, worst defi gap: 0.73:   9%|▊         | 43/500 [01:19<14:05,  1.85s/it]
Epoch 43 | postive loss : 2041.02, negtive prim loss : 429.35, negtive defi loss : 534.30, worst lambd: 5542.58, worst prim gap: 0.31, worst defi gap: 0.52:   9%|▉         | 44/500 [01:21<14:03,  1.85s/it]
Epoch 44 | postive loss : 1980.26, negtive prim loss : 420.67, negtive defi loss : 523.70, worst lambd: 5455.73, worst prim gap: 0.40, worst defi gap: 0.47:   9%|▉         | 45/500 [01:23<14:01,  1.85s/it]
Epoch 45 | postive loss : 1921.73, negtive prim loss : 411.92, negtive defi loss : 514.30, worst lambd: 5240.03, worst prim gap: 0.29, worst defi gap: 0.30:   9%|▉         | 46/500 [01:25<13:59,  1.85s/it]
Epoch 46 | postive loss : 1865.47, negtive prim loss : 403.34, negtive defi loss : 503.60, worst lambd: 5044.82, worst prim gap: 0.34, worst defi gap: 0.27:   9%|▉         | 47/500 [01:27<13:57,  1.85s/it]
Epoch 47 | postive loss : 1811.34, negtive prim loss : 394.82, negtive defi loss : 493.92, worst lambd: 4900.44, worst prim gap: 0.27, worst defi gap: 0.38:  10%|▉         | 48/500 [01:29<13:55,  1.85s/it]
Epoch 48 | postive loss : 1758.94, negtive prim loss : 387.02, negtive defi loss : 484.44, worst lambd: 4777.50, worst prim gap: 0.34, worst defi gap: 0.22:  10%|▉         | 49/500 [01:30<13:53,  1.85s/it]
Epoch 49 | postive loss : 1708.43, negtive prim loss : 378.72, negtive defi loss : 474.77, worst lambd: 4661.46, worst prim gap: 0.24, worst defi gap: 0.25:  10%|█         | 50/500 [01:32<13:53,  1.85s/it]
Epoch 50 | postive loss : 1659.49, negtive prim loss : 370.83, negtive defi loss : 465.57, worst lambd: 4474.06, worst prim gap: 0.14, worst defi gap: 0.35:  10%|█         | 51/500 [01:34<13:50,  1.85s/it]
Epoch 51 | postive loss : 1612.36, negtive prim loss : 363.23, negtive defi loss : 456.57, worst lambd: 4351.40, worst prim gap: 0.24, worst defi gap: 0.35:  10%|█         | 52/500 [01:36<13:48,  1.85s/it]
Epoch 52 | postive loss : 1566.56, negtive prim loss : 355.48, negtive defi loss : 447.56, worst lambd: 4219.10, worst prim gap: 0.23, worst defi gap: 0.26:  11%|█         | 53/500 [01:38<13:46,  1.85s/it]
Epoch 53 | postive loss : 1522.22, negtive prim loss : 347.89, negtive defi loss : 439.40, worst lambd: 4077.16, worst prim gap: 0.25, worst defi gap: 0.17:  11%|█         | 54/500 [01:40<13:45,  1.85s/it]
Epoch 54 | postive loss : 1479.25, negtive prim loss : 341.01, negtive defi loss : 430.36, worst lambd: 3990.77, worst prim gap: 0.18, worst defi gap: 0.22:  11%|█         | 55/500 [01:42<13:43,  1.85s/it]
Epoch 55 | postive loss : 1437.57, negtive prim loss : 333.67, negtive defi loss : 421.73, worst lambd: 3829.80, worst prim gap: 0.19, worst defi gap: 0.20:  11%|█         | 56/500 [01:43<13:40,  1.85s/it]
Epoch 56 | postive loss : 1397.07, negtive prim loss : 326.96, negtive defi loss : 414.17, worst lambd: 3718.02, worst prim gap: 0.15, worst defi gap: 0.23:  11%|█▏        | 57/500 [01:45<13:38,  1.85s/it]
Epoch 57 | postive loss : 1357.76, negtive prim loss : 320.19, negtive defi loss : 406.50, worst lambd: 3635.47, worst prim gap: 0.16, worst defi gap: 0.20:  12%|█▏        | 58/500 [01:47<13:35,  1.85s/it]
Epoch 58 | postive loss : 1319.46, negtive prim loss : 313.50, negtive defi loss : 398.43, worst lambd: 3508.44, worst prim gap: 0.11, worst defi gap: 0.20:  12%|█▏        | 59/500 [01:49<13:36,  1.85s/it]
Epoch 59 | postive loss : 1282.27, negtive prim loss : 306.95, negtive defi loss : 390.87, worst lambd: 3417.48, worst prim gap: 0.14, worst defi gap: 0.15:  12%|█▏        | 60/500 [01:51<13:32,  1.85s/it]
Epoch 60 | postive loss : 1246.06, negtive prim loss : 300.68, negtive defi loss : 383.09, worst lambd: 3308.20, worst prim gap: 0.16, worst defi gap: 0.17:  12%|█▏        | 61/500 [01:53<13:30,  1.85s/it]
Epoch 61 | postive loss : 1210.89, negtive prim loss : 294.36, negtive defi loss : 376.36, worst lambd: 3213.32, worst prim gap: 0.16, worst defi gap: 0.19:  12%|█▏        | 62/500 [01:54<13:28,  1.85s/it]
Epoch 62 | postive loss : 1176.69, negtive prim loss : 288.44, negtive defi loss : 368.76, worst lambd: 3113.75, worst prim gap: 0.11, worst defi gap: 0.17:  13%|█▎        | 63/500 [01:56<13:26,  1.85s/it]
Epoch 63 | postive loss : 1143.31, negtive prim loss : 282.43, negtive defi loss : 361.94, worst lambd: 2988.51, worst prim gap: 0.10, worst defi gap: 0.15:  13%|█▎        | 64/500 [01:58<13:24,  1.84s/it]
Epoch 64 | postive loss : 1110.81, negtive prim loss : 276.47, negtive defi loss : 355.25, worst lambd: 2912.97, worst prim gap: 0.07, worst defi gap: 0.16:  13%|█▎        | 65/500 [02:00<13:21,  1.84s/it]
Epoch 65 | postive loss : 1079.21, negtive prim loss : 270.94, negtive defi loss : 348.50, worst lambd: 2827.39, worst prim gap: 0.10, worst defi gap: 0.17:  13%|█▎        | 66/500 [02:02<13:19,  1.84s/it]
Epoch 66 | postive loss : 1048.46, negtive prim loss : 265.28, negtive defi loss : 342.38, worst lambd: 2760.21, worst prim gap: 0.10, worst defi gap: 0.13:  13%|█▎        | 67/500 [02:04<13:17,  1.84s/it]
Epoch 67 | postive loss : 1018.49, negtive prim loss : 259.92, negtive defi loss : 335.28, worst lambd: 2689.08, worst prim gap: 0.09, worst defi gap: 0.11:  14%|█▎        | 68/500 [02:05<13:15,  1.84s/it]
Epoch 68 | postive loss : 989.38, negtive prim loss : 254.50, negtive defi loss : 329.34, worst lambd: 2618.31, worst prim gap: 0.10, worst defi gap: 0.16:  14%|█▍        | 69/500 [02:07<13:13,  1.84s/it] 
Epoch 69 | postive loss : 960.95, negtive prim loss : 249.45, negtive defi loss : 322.85, worst lambd: 2549.92, worst prim gap: 0.07, worst defi gap: 0.13:  14%|█▍        | 70/500 [02:09<13:12,  1.84s/it]
Epoch 70 | postive loss : 933.29, negtive prim loss : 244.39, negtive defi loss : 317.67, worst lambd: 2475.84, worst prim gap: 0.06, worst defi gap: 0.11:  14%|█▍        | 71/500 [02:11<13:12,  1.85s/it]
Epoch 71 | postive loss : 906.22, negtive prim loss : 239.27, negtive defi loss : 311.36, worst lambd: 2398.60, worst prim gap: 0.07, worst defi gap: 0.09:  14%|█▍        | 72/500 [02:13<13:09,  1.84s/it]
Epoch 72 | postive loss : 879.83, negtive prim loss : 234.56, negtive defi loss : 305.99, worst lambd: 2337.62, worst prim gap: 0.05, worst defi gap: 0.07:  15%|█▍        | 73/500 [02:15<13:08,  1.85s/it]
Epoch 73 | postive loss : 854.12, negtive prim loss : 229.67, negtive defi loss : 300.53, worst lambd: 2272.12, worst prim gap: 0.09, worst defi gap: 0.11:  15%|█▍        | 74/500 [02:17<13:06,  1.85s/it]
Epoch 74 | postive loss : 829.06, negtive prim loss : 225.01, negtive defi loss : 294.92, worst lambd: 2226.17, worst prim gap: 0.03, worst defi gap: 0.12:  15%|█▌        | 75/500 [02:18<13:04,  1.85s/it]
Epoch 75 | postive loss : 804.55, negtive prim loss : 220.59, negtive defi loss : 289.80, worst lambd: 2161.73, worst prim gap: 0.05, worst defi gap: 0.10:  15%|█▌        | 76/500 [02:20<13:03,  1.85s/it]
Epoch 76 | postive loss : 780.64, negtive prim loss : 216.23, negtive defi loss : 284.99, worst lambd: 2091.45, worst prim gap: 0.07, worst defi gap: 0.09:  15%|█▌        | 77/500 [02:22<13:01,  1.85s/it]
Epoch 77 | postive loss : 757.31, negtive prim loss : 211.82, negtive defi loss : 279.98, worst lambd: 2033.32, worst prim gap: 0.04, worst defi gap: 0.06:  16%|█▌        | 78/500 [02:24<12:59,  1.85s/it]
Epoch 78 | postive loss : 734.51, negtive prim loss : 207.66, negtive defi loss : 275.25, worst lambd: 1988.34, worst prim gap: 0.04, worst defi gap: 0.08:  16%|█▌        | 79/500 [02:26<12:56,  1.84s/it]
Epoch 79 | postive loss : 712.20, negtive prim loss : 203.59, negtive defi loss : 270.25, worst lambd: 1934.92, worst prim gap: 0.05, worst defi gap: 0.03:  16%|█▌        | 80/500 [02:28<12:54,  1.84s/it]
Epoch 80 | postive loss : 690.41, negtive prim loss : 199.52, negtive defi loss : 266.06, worst lambd: 1870.01, worst prim gap: 0.04, worst defi gap: 0.06:  16%|█▌        | 81/500 [02:29<12:52,  1.84s/it]
Epoch 81 | postive loss : 669.08, negtive prim loss : 195.52, negtive defi loss : 261.56, worst lambd: 1827.09, worst prim gap: 0.05, worst defi gap: 0.06:  16%|█▋        | 82/500 [02:31<12:50,  1.84s/it]
Epoch 82 | postive loss : 648.27, negtive prim loss : 191.67, negtive defi loss : 257.06, worst lambd: 1766.72, worst prim gap: 0.02, worst defi gap: 0.06:  17%|█▋        | 83/500 [02:33<12:48,  1.84s/it]
Epoch 83 | postive loss : 628.11, negtive prim loss : 188.14, negtive defi loss : 252.83, worst lambd: 1726.56, worst prim gap: 0.04, worst defi gap: 0.06:  17%|█▋        | 84/500 [02:35<12:46,  1.84s/it]
Epoch 84 | postive loss : 608.48, negtive prim loss : 184.44, negtive defi loss : 249.05, worst lambd: 1680.08, worst prim gap: 0.04, worst defi gap: 0.04:  17%|█▋        | 85/500 [02:37<12:43,  1.84s/it]
Epoch 85 | postive loss : 589.48, negtive prim loss : 180.88, negtive defi loss : 245.02, worst lambd: 1624.55, worst prim gap: 0.02, worst defi gap: 0.05:  17%|█▋        | 86/500 [02:39<12:42,  1.84s/it]
Epoch 86 | postive loss : 571.01, negtive prim loss : 177.53, negtive defi loss : 241.37, worst lambd: 1588.15, worst prim gap: 0.03, worst defi gap: 0.01:  17%|█▋        | 87/500 [02:41<12:40,  1.84s/it]
Epoch 87 | postive loss : 553.00, negtive prim loss : 174.06, negtive defi loss : 237.59, worst lambd: 1543.14, worst prim gap: 0.02, worst defi gap: 0.04:  18%|█▊        | 88/500 [02:42<12:38,  1.84s/it]
Epoch 88 | postive loss : 535.51, negtive prim loss : 170.83, negtive defi loss : 234.27, worst lambd: 1496.16, worst prim gap: 0.01, worst defi gap: 0.03:  18%|█▊        | 89/500 [02:44<12:35,  1.84s/it]
Epoch 89 | postive loss : 518.62, negtive prim loss : 167.68, negtive defi loss : 230.71, worst lambd: 1456.27, worst prim gap: 0.02, worst defi gap: 0.01:  18%|█▊        | 90/500 [02:46<12:33,  1.84s/it]
Epoch 90 | postive loss : 502.23, negtive prim loss : 164.51, negtive defi loss : 227.42, worst lambd: 1416.86, worst prim gap: 0.02, worst defi gap: 0.04:  18%|█▊        | 91/500 [02:48<12:32,  1.84s/it]
Epoch 91 | postive loss : 486.37, negtive prim loss : 161.49, negtive defi loss : 224.27, worst lambd: 1375.79, worst prim gap: 0.02, worst defi gap: 0.03:  18%|█▊        | 92/500 [02:50<12:31,  1.84s/it]
Epoch 92 | postive loss : 471.02, negtive prim loss : 158.47, negtive defi loss : 221.04, worst lambd: 1329.24, worst prim gap: 0.02, worst defi gap: 0.02:  19%|█▊        | 93/500 [02:52<12:29,  1.84s/it]
Epoch 93 | postive loss : 456.14, negtive prim loss : 155.51, negtive defi loss : 217.96, worst lambd: 1290.87, worst prim gap: 0.03, worst defi gap: 0.02:  19%|█▉        | 94/500 [02:53<12:27,  1.84s/it]
Epoch 94 | postive loss : 441.75, negtive prim loss : 152.67, negtive defi loss : 214.69, worst lambd: 1252.34, worst prim gap: 0.01, worst defi gap: 0.02:  19%|█▉        | 95/500 [02:55<12:25,  1.84s/it]
Epoch 95 | postive loss : 427.85, negtive prim loss : 149.98, negtive defi loss : 211.65, worst lambd: 1226.34, worst prim gap: 0.02, worst defi gap: 0.01:  19%|█▉        | 96/500 [02:57<12:24,  1.84s/it]
Epoch 96 | postive loss : 414.40, negtive prim loss : 147.41, negtive defi loss : 208.53, worst lambd: 1181.07, worst prim gap: 0.00, worst defi gap: 0.02:  19%|█▉        | 97/500 [02:59<12:21,  1.84s/it]
Epoch 97 | postive loss : 401.35, negtive prim loss : 144.62, negtive defi loss : 206.18, worst lambd: 1151.10, worst prim gap: 0.02, worst defi gap: 0.02:  20%|█▉        | 98/500 [03:01<12:19,  1.84s/it]
Epoch 98 | postive loss : 388.73, negtive prim loss : 142.06, negtive defi loss : 203.35, worst lambd: 1112.22, worst prim gap: 0.02, worst defi gap: 0.02:  20%|█▉        | 99/500 [03:03<12:18,  1.84s/it]
Epoch 99 | postive loss : 376.55, negtive prim loss : 139.65, negtive defi loss : 200.61, worst lambd: 1084.47, worst prim gap: 0.01, worst defi gap: 0.01:  20%|██        | 100/500 [03:04<12:15,  1.84s/it]
Epoch 100 | postive loss : 364.80, negtive prim loss : 137.12, negtive defi loss : 197.85, worst lambd: 1052.94, worst prim gap: 0.01, worst defi gap: 0.02:  20%|██        | 101/500 [03:06<12:14,  1.84s/it]
Epoch 101 | postive loss : 353.40, negtive prim loss : 134.73, negtive defi loss : 195.42, worst lambd: 1022.10, worst prim gap: 0.01, worst defi gap: 0.02:  20%|██        | 102/500 [03:08<12:12,  1.84s/it]
Epoch 102 | postive loss : 342.41, negtive prim loss : 132.31, negtive defi loss : 192.76, worst lambd: 992.15, worst prim gap: 0.01, worst defi gap: 0.01:  21%|██        | 103/500 [03:10<12:09,  1.84s/it] 
Epoch 103 | postive loss : 331.73, negtive prim loss : 130.04, negtive defi loss : 190.37, worst lambd: 963.32, worst prim gap: 0.01, worst defi gap: 0.02:  21%|██        | 104/500 [03:12<12:08,  1.84s/it]
