
2023-03-15 20:54:32
alpha: 1    batchsize: 128    dim: 128    epoch: 500    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 0.2    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 128    optimizer: Adam    vmax: 10    vmin: 0.1    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 1
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/500 [00:00<?, ?it/s]
Epoch 349 | postive loss : 3.41, negtive loss : 3.32, worst lambd: 1309.39, worst gap: 0.68:  70%|███████   | 350/500 [03:06<01:19,  1.88it/s]
Epoch 359 | postive loss : 3.36, negtive loss : 3.27, worst lambd: 1163.61, worst gap: 0.72:  72%|███████▏  | 360/500 [03:12<01:14,  1.88it/s]
Epoch 369 | postive loss : 3.31, negtive loss : 3.24, worst lambd: 1029.77, worst gap: 0.63:  74%|███████▍  | 370/500 [03:17<01:09,  1.88it/s]
Epoch 379 | postive loss : 3.27, negtive loss : 3.23, worst lambd: 908.67, worst gap: 0.65:  76%|███████▌  | 380/500 [03:22<01:03,  1.88it/s] 
Epoch 389 | postive loss : 3.23, negtive loss : 3.22, worst lambd: 799.07, worst gap: 0.57:  78%|███████▊  | 390/500 [03:28<00:58,  1.88it/s]
Epoch 399 | postive loss : 3.20, negtive loss : 3.22, worst lambd: 700.01, worst gap: 0.67:  80%|████████  | 400/500 [03:33<00:53,  1.88it/s]
Epoch 409 | postive loss : 3.17, negtive loss : 3.22, worst lambd: 610.95, worst gap: 0.64:  82%|████████▏ | 410/500 [03:38<00:47,  1.88it/s]
Epoch 419 | postive loss : 3.14, negtive loss : 3.22, worst lambd: 531.38, worst gap: 0.60:  84%|████████▍ | 420/500 [03:44<00:42,  1.88it/s]
Epoch 429 | postive loss : 3.12, negtive loss : 3.24, worst lambd: 460.85, worst gap: 0.47:  86%|████████▌ | 430/500 [03:49<00:37,  1.88it/s]
Epoch 439 | postive loss : 3.10, negtive loss : 3.24, worst lambd: 397.89, worst gap: 0.34:  88%|████████▊ | 440/500 [03:54<00:31,  1.88it/s]
Epoch 449 | postive loss : 3.08, negtive loss : 3.25, worst lambd: 342.29, worst gap: 0.19:  90%|█████████ | 450/500 [04:00<00:26,  1.87it/s]
Epoch 459 | postive loss : 3.06, negtive loss : 3.26, worst lambd: 293.21, worst gap: 0.16:  92%|█████████▏| 460/500 [04:05<00:21,  1.87it/s]
Epoch 469 | postive loss : 3.05, negtive loss : 3.27, worst lambd: 250.33, worst gap: 0.47:  94%|█████████▍| 470/500 [04:10<00:16,  1.87it/s]
Epoch 479 | postive loss : 3.03, negtive loss : 3.28, worst lambd: 212.85, worst gap: 0.27:  96%|█████████▌| 480/500 [04:16<00:10,  1.88it/s]
Epoch 489 | postive loss : 3.02, negtive loss : 3.29, worst lambd: 180.86, worst gap: 0.28:  98%|█████████▊| 490/500 [04:21<00:05,  1.88it/s]
Epoch 499 | postive loss : 3.00, negtive loss : 3.30, worst lambd: 152.51, worst gap: 0.47: 100%|██████████| 500/500 [04:26<00:00,  1.88it/s]
Epoch 499 | postive loss : 3.00, negtive loss : 3.30, worst lambd: 152.51, worst gap: 0.47: 100%|██████████| 500/500 [04:26<00:00,  1.88it/s]
Info : finish model training
Info : save model sucessfully
Info : save sucessfully

2023-03-15 21:17:43
alpha: 1    batchsize: 128    dim: 128    epoch: 1000    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 0.2    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 128    optimizer: Adam    vmax: 10    vmin: 0.1    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 1
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/1000 [00:00<?, ?it/s]
Epoch 9 | postive loss : 6343.08, negtive loss : 6457.93, worst lambd: 10370.49, worst gap: 1283.41:   1%|          | 10/1000 [00:05<08:59,  1.84it/s]
Epoch 19 | postive loss : 5024.75, negtive loss : 5173.25, worst lambd: 8822.84, worst gap: 1010.61:   2%|▏         | 20/1000 [00:10<08:47,  1.86it/s]
Epoch 29 | postive loss : 4007.24, negtive loss : 4167.61, worst lambd: 7734.42, worst gap: 760.44:   3%|▎         | 30/1000 [00:16<08:39,  1.87it/s] 
Epoch 39 | postive loss : 3204.06, negtive loss : 3369.06, worst lambd: 6817.24, worst gap: 584.52:   4%|▍         | 40/1000 [00:21<08:33,  1.87it/s]
Epoch 49 | postive loss : 2563.18, negtive loss : 2723.04, worst lambd: 5948.85, worst gap: 448.33:   5%|▌         | 50/1000 [00:26<08:27,  1.87it/s]
Epoch 59 | postive loss : 2048.47, negtive loss : 2200.21, worst lambd: 5213.21, worst gap: 346.96:   6%|▌         | 60/1000 [00:32<08:21,  1.87it/s]
Epoch 69 | postive loss : 1633.75, negtive loss : 1775.41, worst lambd: 5117.29, worst gap: 244.65:   7%|▋         | 70/1000 [00:37<08:15,  1.88it/s]
Epoch 79 | postive loss : 1298.97, negtive loss : 1428.67, worst lambd: 5004.15, worst gap: 184.32:   8%|▊         | 80/1000 [00:42<08:10,  1.88it/s]
Epoch 89 | postive loss : 1028.61, negtive loss : 1146.56, worst lambd: 4884.74, worst gap: 134.52:   9%|▉         | 90/1000 [00:48<08:04,  1.88it/s]
Epoch 99 | postive loss : 810.51, negtive loss : 915.16, worst lambd: 4763.95, worst gap: 99.92:  10%|█         | 100/1000 [00:53<07:59,  1.88it/s]  
Epoch 109 | postive loss : 635.03, negtive loss : 727.60, worst lambd: 4627.48, worst gap: 73.41:  11%|█         | 110/1000 [00:58<07:54,  1.88it/s]
Epoch 119 | postive loss : 494.33, negtive loss : 575.74, worst lambd: 4492.87, worst gap: 51.49:  12%|█▏        | 120/1000 [01:04<07:48,  1.88it/s]
Epoch 129 | postive loss : 382.08, negtive loss : 451.30, worst lambd: 4353.71, worst gap: 36.23:  13%|█▎        | 130/1000 [01:09<07:43,  1.88it/s]
Epoch 139 | postive loss : 293.02, negtive loss : 351.92, worst lambd: 4211.80, worst gap: 26.45:  14%|█▍        | 140/1000 [01:14<07:38,  1.88it/s]
Epoch 149 | postive loss : 222.85, negtive loss : 273.01, worst lambd: 4064.43, worst gap: 18.39:  15%|█▌        | 150/1000 [01:20<07:33,  1.88it/s]
Epoch 159 | postive loss : 168.01, negtive loss : 210.10, worst lambd: 3913.28, worst gap: 12.27:  16%|█▌        | 160/1000 [01:25<07:28,  1.87it/s]
Epoch 169 | postive loss : 125.53, negtive loss : 160.69, worst lambd: 3760.88, worst gap: 8.22:  17%|█▋        | 170/1000 [01:30<07:22,  1.88it/s] 
Epoch 179 | postive loss : 92.98, negtive loss : 121.38, worst lambd: 3602.56, worst gap: 5.70:  18%|█▊        | 180/1000 [01:36<07:16,  1.88it/s] 
Epoch 189 | postive loss : 68.30, negtive loss : 91.61, worst lambd: 3442.05, worst gap: 3.97:  19%|█▉        | 190/1000 [01:41<07:10,  1.88it/s] 
Epoch 199 | postive loss : 49.83, negtive loss : 68.44, worst lambd: 3276.90, worst gap: 2.71:  20%|██        | 200/1000 [01:46<07:04,  1.88it/s]
Epoch 209 | postive loss : 36.16, negtive loss : 51.00, worst lambd: 3110.42, worst gap: 1.84:  21%|██        | 210/1000 [01:51<06:59,  1.88it/s]
Epoch 219 | postive loss : 26.18, negtive loss : 37.95, worst lambd: 2939.56, worst gap: 1.33:  22%|██▏       | 220/1000 [01:57<06:53,  1.89it/s]
Epoch 229 | postive loss : 18.97, negtive loss : 28.22, worst lambd: 2767.57, worst gap: 0.97:  23%|██▎       | 230/1000 [02:02<06:48,  1.89it/s]
Epoch 239 | postive loss : 13.82, negtive loss : 20.85, worst lambd: 2594.91, worst gap: 0.95:  24%|██▍       | 240/1000 [02:07<06:42,  1.89it/s]
Epoch 249 | postive loss : 10.20, negtive loss : 15.62, worst lambd: 2422.87, worst gap: 0.91:  25%|██▌       | 250/1000 [02:13<06:37,  1.89it/s]
Epoch 259 | postive loss : 7.73, negtive loss : 11.82, worst lambd: 2251.85, worst gap: 0.85:  26%|██▌       | 260/1000 [02:18<06:32,  1.89it/s] 
Epoch 269 | postive loss : 6.11, negtive loss : 9.20, worst lambd: 2082.01, worst gap: 0.89:  27%|██▋       | 270/1000 [02:23<06:27,  1.89it/s] 
Epoch 279 | postive loss : 5.08, negtive loss : 7.30, worst lambd: 1921.06, worst gap: 0.87:  28%|██▊       | 280/1000 [02:29<06:21,  1.89it/s]
Epoch 289 | postive loss : 4.43, negtive loss : 6.15, worst lambd: 1757.53, worst gap: 0.86:  29%|██▉       | 290/1000 [02:34<06:16,  1.89it/s]
Epoch 299 | postive loss : 4.04, negtive loss : 5.24, worst lambd: 1605.80, worst gap: 0.87:  30%|███       | 300/1000 [02:39<06:11,  1.89it/s]
Epoch 309 | postive loss : 3.78, negtive loss : 4.68, worst lambd: 1457.94, worst gap: 0.88:  31%|███       | 310/1000 [02:44<06:05,  1.89it/s]
Epoch 319 | postive loss : 3.62, negtive loss : 4.31, worst lambd: 1320.86, worst gap: 0.86:  32%|███▏      | 320/1000 [02:50<06:00,  1.89it/s]
Epoch 329 | postive loss : 3.50, negtive loss : 4.02, worst lambd: 1189.01, worst gap: 0.76:  33%|███▎      | 330/1000 [02:55<05:55,  1.89it/s]
Epoch 339 | postive loss : 3.42, negtive loss : 3.80, worst lambd: 1067.28, worst gap: 0.65:  34%|███▍      | 340/1000 [03:00<05:50,  1.89it/s]
Epoch 349 | postive loss : 3.35, negtive loss : 3.66, worst lambd: 954.30, worst gap: 0.74:  35%|███▌      | 350/1000 [03:06<05:44,  1.89it/s] 
Epoch 359 | postive loss : 3.30, negtive loss : 3.56, worst lambd: 849.66, worst gap: 0.61:  36%|███▌      | 360/1000 [03:11<05:39,  1.89it/s]
Epoch 369 | postive loss : 3.25, negtive loss : 3.47, worst lambd: 758.67, worst gap: 0.55:  37%|███▋      | 370/1000 [03:16<05:34,  1.89it/s]
Epoch 379 | postive loss : 3.22, negtive loss : 3.42, worst lambd: 669.68, worst gap: 0.58:  38%|███▊      | 380/1000 [03:22<05:28,  1.89it/s]
Epoch 389 | postive loss : 3.19, negtive loss : 3.38, worst lambd: 588.49, worst gap: 0.58:  39%|███▉      | 390/1000 [03:27<05:23,  1.89it/s]
Epoch 399 | postive loss : 3.16, negtive loss : 3.35, worst lambd: 514.90, worst gap: 0.39:  40%|████      | 400/1000 [03:32<05:18,  1.89it/s]
Epoch 409 | postive loss : 3.13, negtive loss : 3.32, worst lambd: 449.08, worst gap: 0.63:  41%|████      | 410/1000 [03:37<05:12,  1.89it/s]
Epoch 419 | postive loss : 3.11, negtive loss : 3.32, worst lambd: 390.53, worst gap: 0.29:  42%|████▏     | 420/1000 [03:43<05:07,  1.89it/s]
Epoch 429 | postive loss : 3.09, negtive loss : 3.31, worst lambd: 338.65, worst gap: 0.30:  43%|████▎     | 430/1000 [03:48<05:02,  1.89it/s]
Epoch 439 | postive loss : 3.07, negtive loss : 3.31, worst lambd: 291.91, worst gap: 0.39:  44%|████▍     | 440/1000 [03:53<04:56,  1.89it/s]
Epoch 449 | postive loss : 3.06, negtive loss : 3.31, worst lambd: 251.10, worst gap: 0.37:  45%|████▌     | 450/1000 [03:59<04:51,  1.89it/s]
Epoch 459 | postive loss : 3.04, negtive loss : 3.30, worst lambd: 215.40, worst gap: 0.53:  46%|████▌     | 460/1000 [04:04<04:46,  1.89it/s]
Epoch 469 | postive loss : 3.03, negtive loss : 3.30, worst lambd: 184.00, worst gap: 0.24:  47%|████▋     | 470/1000 [04:09<04:40,  1.89it/s]
Epoch 479 | postive loss : 3.02, negtive loss : 3.31, worst lambd: 156.90, worst gap: 0.48:  48%|████▊     | 480/1000 [04:15<04:35,  1.89it/s]
Epoch 489 | postive loss : 3.00, negtive loss : 3.31, worst lambd: 132.89, worst gap: 0.21:  49%|████▉     | 490/1000 [04:20<04:30,  1.89it/s]
Epoch 499 | postive loss : 3.00, negtive loss : 3.32, worst lambd: 112.41, worst gap: 0.28:  50%|█████     | 500/1000 [04:25<04:25,  1.89it/s]
Epoch 509 | postive loss : 2.99, negtive loss : 3.33, worst lambd: 94.20, worst gap: 0.20:  51%|█████     | 510/1000 [04:30<04:19,  1.89it/s] 
Epoch 519 | postive loss : 2.97, negtive loss : 3.33, worst lambd: 78.53, worst gap: 0.28:  52%|█████▏    | 520/1000 [04:36<04:14,  1.89it/s]
Epoch 529 | postive loss : 2.97, negtive loss : 3.34, worst lambd: 65.01, worst gap: 0.08:  53%|█████▎    | 530/1000 [04:41<04:09,  1.89it/s]
Epoch 539 | postive loss : 2.96, negtive loss : 3.34, worst lambd: 54.05, worst gap: 0.09:  54%|█████▍    | 540/1000 [04:46<04:03,  1.89it/s]
Epoch 549 | postive loss : 2.95, negtive loss : 3.36, worst lambd: 45.05, worst gap: 0.22:  55%|█████▌    | 550/1000 [04:52<03:58,  1.89it/s]
Epoch 559 | postive loss : 2.94, negtive loss : 3.37, worst lambd: 37.55, worst gap: 0.29:  56%|█████▌    | 560/1000 [04:57<03:53,  1.89it/s]
Epoch 569 | postive loss : 2.94, negtive loss : 3.38, worst lambd: 31.22, worst gap: 0.05:  57%|█████▋    | 570/1000 [05:02<03:48,  1.89it/s]
Epoch 579 | postive loss : 2.93, negtive loss : 3.39, worst lambd: 26.03, worst gap: 0.16:  58%|█████▊    | 580/1000 [05:08<03:42,  1.89it/s]
Epoch 589 | postive loss : 2.92, negtive loss : 3.40, worst lambd: 21.72, worst gap: 0.12:  59%|█████▉    | 590/1000 [05:13<03:37,  1.89it/s]
Epoch 599 | postive loss : 2.91, negtive loss : 3.41, worst lambd: 18.22, worst gap: 0.04:  60%|██████    | 600/1000 [05:18<03:32,  1.89it/s]
Epoch 609 | postive loss : 2.91, negtive loss : 3.43, worst lambd: 15.28, worst gap: 0.22:  61%|██████    | 610/1000 [05:23<03:26,  1.89it/s]
Epoch 619 | postive loss : 2.90, negtive loss : 3.44, worst lambd: 12.82, worst gap: 0.05:  62%|██████▏   | 620/1000 [05:29<03:21,  1.89it/s]
Epoch 629 | postive loss : 2.89, negtive loss : 3.46, worst lambd: 10.80, worst gap: 0.16:  63%|██████▎   | 630/1000 [05:34<03:16,  1.89it/s]
Epoch 639 | postive loss : 2.88, negtive loss : 3.48, worst lambd: 9.28, worst gap: 0.22:  64%|██████▍   | 640/1000 [05:39<03:10,  1.89it/s] 
Epoch 649 | postive loss : 2.87, negtive loss : 3.49, worst lambd: 7.97, worst gap: 0.13:  65%|██████▌   | 650/1000 [05:45<03:05,  1.89it/s]
Epoch 659 | postive loss : 2.86, negtive loss : 3.51, worst lambd: 6.96, worst gap: 0.28:  66%|██████▌   | 660/1000 [05:50<03:00,  1.89it/s]
Epoch 669 | postive loss : 2.85, negtive loss : 3.52, worst lambd: 6.15, worst gap: 0.14:  67%|██████▋   | 670/1000 [05:55<02:54,  1.89it/s]
Epoch 679 | postive loss : 2.84, negtive loss : 3.54, worst lambd: 5.48, worst gap: 0.06:  68%|██████▊   | 680/1000 [06:01<02:49,  1.89it/s]
Epoch 689 | postive loss : 2.83, negtive loss : 3.56, worst lambd: 4.92, worst gap: 0.18:  69%|██████▉   | 690/1000 [06:06<02:44,  1.89it/s]
Epoch 699 | postive loss : 2.82, negtive loss : 3.58, worst lambd: 4.85, worst gap: 0.27:  70%|███████   | 700/1000 [06:11<02:38,  1.89it/s]
Epoch 709 | postive loss : 2.81, negtive loss : 3.60, worst lambd: 4.84, worst gap: 0.08:  71%|███████   | 710/1000 [06:16<02:33,  1.89it/s]
Epoch 719 | postive loss : 2.80, negtive loss : 3.62, worst lambd: 4.99, worst gap: 0.24:  72%|███████▏  | 720/1000 [06:22<02:28,  1.89it/s]
Epoch 729 | postive loss : 2.79, negtive loss : 3.63, worst lambd: 4.85, worst gap: 0.13:  73%|███████▎  | 730/1000 [06:27<02:22,  1.89it/s]
Epoch 739 | postive loss : 2.78, negtive loss : 3.66, worst lambd: 4.88, worst gap: 0.20:  74%|███████▍  | 740/1000 [06:32<02:17,  1.89it/s]
Epoch 749 | postive loss : 2.77, negtive loss : 3.68, worst lambd: 4.99, worst gap: 0.14:  75%|███████▌  | 750/1000 [06:38<02:11,  1.89it/s]
Epoch 759 | postive loss : 2.75, negtive loss : 3.69, worst lambd: 4.88, worst gap: 0.25:  76%|███████▌  | 760/1000 [06:43<02:06,  1.89it/s]
Epoch 769 | postive loss : 2.74, negtive loss : 3.72, worst lambd: 4.79, worst gap: 0.11:  77%|███████▋  | 770/1000 [06:48<02:01,  1.89it/s]
Epoch 779 | postive loss : 2.73, negtive loss : 3.74, worst lambd: 4.85, worst gap: 0.17:  78%|███████▊  | 780/1000 [06:53<01:56,  1.90it/s]
Epoch 789 | postive loss : 2.72, negtive loss : 3.76, worst lambd: 4.84, worst gap: 0.12:  79%|███████▉  | 790/1000 [06:59<01:50,  1.90it/s]
Epoch 799 | postive loss : 2.70, negtive loss : 3.77, worst lambd: 4.93, worst gap: 0.16:  80%|████████  | 800/1000 [07:04<01:45,  1.90it/s]
Epoch 809 | postive loss : 2.69, negtive loss : 3.79, worst lambd: 4.76, worst gap: 0.24:  81%|████████  | 810/1000 [07:09<01:40,  1.90it/s]
Epoch 819 | postive loss : 2.68, negtive loss : 3.81, worst lambd: 4.90, worst gap: 0.15:  82%|████████▏ | 820/1000 [07:14<01:34,  1.90it/s]
Epoch 829 | postive loss : 2.67, negtive loss : 3.83, worst lambd: 4.86, worst gap: 0.17:  83%|████████▎ | 830/1000 [07:20<01:29,  1.90it/s]
Epoch 839 | postive loss : 2.65, negtive loss : 3.85, worst lambd: 4.96, worst gap: 0.17:  84%|████████▍ | 840/1000 [07:25<01:24,  1.90it/s]
Epoch 849 | postive loss : 2.64, negtive loss : 3.86, worst lambd: 4.81, worst gap: 0.13:  85%|████████▌ | 850/1000 [07:30<01:19,  1.90it/s]
Epoch 859 | postive loss : 2.63, negtive loss : 3.87, worst lambd: 4.97, worst gap: 0.20:  86%|████████▌ | 860/1000 [07:36<01:13,  1.90it/s]
Epoch 869 | postive loss : 2.62, negtive loss : 3.90, worst lambd: 4.89, worst gap: 0.13:  87%|████████▋ | 870/1000 [07:41<01:08,  1.90it/s]
Epoch 879 | postive loss : 2.61, negtive loss : 3.91, worst lambd: 4.85, worst gap: 0.18:  88%|████████▊ | 880/1000 [07:46<01:03,  1.90it/s]
Epoch 889 | postive loss : 2.60, negtive loss : 3.93, worst lambd: 4.89, worst gap: 0.18:  89%|████████▉ | 890/1000 [07:51<00:57,  1.90it/s]
Epoch 899 | postive loss : 2.58, negtive loss : 3.94, worst lambd: 4.90, worst gap: 0.13:  90%|█████████ | 900/1000 [07:57<00:52,  1.90it/s]
Epoch 909 | postive loss : 2.57, negtive loss : 3.96, worst lambd: 4.77, worst gap: 0.18:  91%|█████████ | 910/1000 [08:02<00:47,  1.90it/s]
Epoch 919 | postive loss : 2.57, negtive loss : 3.98, worst lambd: 4.93, worst gap: 0.18:  92%|█████████▏| 920/1000 [08:07<00:42,  1.90it/s]
Epoch 929 | postive loss : 2.55, negtive loss : 3.99, worst lambd: 4.79, worst gap: 0.18:  93%|█████████▎| 930/1000 [08:12<00:36,  1.90it/s]
Epoch 939 | postive loss : 2.54, negtive loss : 4.00, worst lambd: 4.92, worst gap: 0.19:  94%|█████████▍| 940/1000 [08:18<00:31,  1.90it/s]
Epoch 949 | postive loss : 2.53, negtive loss : 4.02, worst lambd: 4.93, worst gap: 0.17:  95%|█████████▌| 950/1000 [08:23<00:26,  1.90it/s]
Epoch 959 | postive loss : 2.52, negtive loss : 4.04, worst lambd: 4.89, worst gap: 0.16:  96%|█████████▌| 960/1000 [08:28<00:21,  1.90it/s]
Epoch 969 | postive loss : 2.51, negtive loss : 4.05, worst lambd: 4.74, worst gap: 0.28:  97%|█████████▋| 970/1000 [08:33<00:15,  1.90it/s]
Epoch 979 | postive loss : 2.50, negtive loss : 4.06, worst lambd: 4.79, worst gap: 0.14:  98%|█████████▊| 980/1000 [08:39<00:10,  1.90it/s]
Epoch 989 | postive loss : 2.49, negtive loss : 4.07, worst lambd: 4.85, worst gap: 0.24:  99%|█████████▉| 990/1000 [08:44<00:05,  1.90it/s]
Epoch 999 | postive loss : 2.49, negtive loss : 4.10, worst lambd: 4.77, worst gap: 0.18: 100%|██████████| 1000/1000 [08:49<00:00,  1.90it/s]
Epoch 999 | postive loss : 2.49, negtive loss : 4.10, worst lambd: 4.77, worst gap: 0.18: 100%|██████████| 1000/1000 [08:49<00:00,  1.89it/s]
Info : finish model training
Info : save model sucessfully
Info : save sucessfully

2023-03-15 23:41:08
alpha: 0.1    batchsize: 128    dim: 128    epoch: 1000    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 0.2    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 128    optimizer: Adam    vmax: 10    vmin: 0.1    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 1
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/1000 [00:00<?, ?it/s]
