2023-03-14 03:58:29
alpha: 1    batchsize: 64    dim: 128    epoch: 1000    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 2    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 1000    optimizer: Adam    vmax: 100    vmin: 0.01    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 0
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/1000 [00:00<?, ?it/s]
  0%|          | 0/1000 [00:10<?, ?it/s]
Epoch 155 | postive loss : 10.22, negtive prim loss : 19.70, negtive defi loss : 40.36, worst lambd: 26.07, worst prim gap: 0.00, worst defi gap: 0.03:  16%|█▌        | 156/1000 [27:30<2:28:40, 10.57s/it]
Epoch 161 | postive loss : 7.84, negtive prim loss : 15.17, negtive defi loss : 31.36, worst lambd: 20.83, worst prim gap: 0.00, worst defi gap: 0.02:  16%|█▌        | 162/1000 [28:34<2:27:38, 10.57s/it] 
Epoch 167 | postive loss : 6.34, negtive prim loss : 11.64, negtive defi loss : 24.15, worst lambd: 15.70, worst prim gap: 0.00, worst defi gap: 0.02:  17%|█▋        | 168/1000 [29:37<2:26:44, 10.58s/it]
Epoch 173 | postive loss : 5.44, negtive prim loss : 8.99, negtive defi loss : 18.66, worst lambd: 12.23, worst prim gap: 0.00, worst defi gap: 0.01:  17%|█▋        | 174/1000 [30:41<2:25:44, 10.59s/it] 
Epoch 179 | postive loss : 4.72, negtive prim loss : 7.03, negtive defi loss : 14.57, worst lambd: 10.65, worst prim gap: 0.00, worst defi gap: 0.03:  18%|█▊        | 180/1000 [31:44<2:24:34, 10.58s/it]
Epoch 185 | postive loss : 4.28, negtive prim loss : 5.68, negtive defi loss : 11.69, worst lambd: 10.23, worst prim gap: 0.00, worst defi gap: 0.00:  19%|█▊        | 186/1000 [32:47<2:23:26, 10.57s/it]
Epoch 191 | postive loss : 3.88, negtive prim loss : 4.78, negtive defi loss : 9.78, worst lambd: 9.55, worst prim gap: 0.00, worst defi gap: 0.01:  19%|█▉        | 192/1000 [33:51<2:22:18, 10.57s/it]  
Epoch 197 | postive loss : 3.67, negtive prim loss : 4.23, negtive defi loss : 8.59, worst lambd: 9.61, worst prim gap: 0.00, worst defi gap: 0.00:  20%|█▉        | 198/1000 [34:54<2:21:12, 10.56s/it]
Epoch 203 | postive loss : 3.44, negtive prim loss : 3.89, negtive defi loss : 7.83, worst lambd: 8.66, worst prim gap: 0.00, worst defi gap: 0.00:  20%|██        | 204/1000 [35:57<2:20:06, 10.56s/it]
Epoch 209 | postive loss : 3.37, negtive prim loss : 3.68, negtive defi loss : 7.37, worst lambd: 8.33, worst prim gap: 0.00, worst defi gap: 0.01:  21%|██        | 210/1000 [37:01<2:19:01, 10.56s/it]
