2023-03-14 01:45:05
alpha: 0.5    batchsize: 64    dim: 128    epoch: 500    gapMax_defi: -1    gapMax_prim: -0.5    lambdaMax: 2    learningrate: 0.002    lrdecay: 1    lrdecayEpoch: 250    modelname: SN2E    momentum: 0    negtsamplenum: 1000    optimizer: Adam    vmax: 100    vmin: 0.01    weightdecay: 0    
INFO -- prepare : Init model SN2E
INFO -- prepare : set model cuda: 0
INFO -- prepare : Model initialization complete
INFO -- prepare : Init optimizer
INFO -- prepare : Finish preparing Optimizer...
Info -- : start model training

  0%|          | 0/500 [00:00<?, ?it/s]
  0%|          | 0/500 [00:10<?, ?it/s]
Epoch 0 | postive loss : 50083.21, negtive prim loss : 2194.92, negtive defi loss : 2637.94, worst lambd: 88622.86, worst prim gap: 973.99, worst defi gap: 1391.84:   0%|          | 1/500 [00:10<1:28:50, 10.68s/it]
Epoch 1 | postive loss : 40647.36, negtive prim loss : 2124.35, negtive defi loss : 2547.70, worst lambd: 70442.21, worst prim gap: 737.40, worst defi gap: 1068.55:   0%|          | 2/500 [00:20<1:26:52, 10.47s/it]
Epoch 2 | postive loss : 33613.96, negtive prim loss : 2055.24, negtive defi loss : 2459.96, worst lambd: 59229.59, worst prim gap: 584.10, worst defi gap: 787.29:   1%|          | 3/500 [00:31<1:26:09, 10.40s/it] 
Epoch 3 | postive loss : 28255.47, negtive prim loss : 1987.60, negtive defi loss : 2376.49, worst lambd: 50261.17, worst prim gap: 382.94, worst defi gap: 543.50:   1%|          | 4/500 [00:41<1:25:45, 10.37s/it]
Epoch 4 | postive loss : 24120.22, negtive prim loss : 1922.68, negtive defi loss : 2297.94, worst lambd: 47304.19, worst prim gap: 305.12, worst defi gap: 427.16:   1%|          | 5/500 [00:51<1:25:26, 10.36s/it]
Epoch 5 | postive loss : 20875.16, negtive prim loss : 1861.27, negtive defi loss : 2223.99, worst lambd: 41905.05, worst prim gap: 212.67, worst defi gap: 290.44:   1%|          | 6/500 [01:02<1:25:13, 10.35s/it]
Epoch 6 | postive loss : 18290.89, negtive prim loss : 1801.52, negtive defi loss : 2152.68, worst lambd: 36239.91, worst prim gap: 131.70, worst defi gap: 193.77:   1%|▏         | 7/500 [01:12<1:24:59, 10.34s/it]
Epoch 7 | postive loss : 16210.20, negtive prim loss : 1744.77, negtive defi loss : 2086.02, worst lambd: 34152.95, worst prim gap: 109.39, worst defi gap: 125.85:   2%|▏         | 8/500 [01:22<1:24:46, 10.34s/it]
Epoch 25 | postive loss : 4872.19, negtive prim loss : 1006.52, negtive defi loss : 1236.38, worst lambd: 13401.63, worst prim gap: 0.49, worst defi gap: 0.44:   5%|▌         | 26/500 [04:28<1:21:17, 10.29s/it]
Epoch 26 | postive loss : 4650.65, negtive prim loss : 977.03, negtive defi loss : 1202.15, worst lambd: 13097.04, worst prim gap: 0.36, worst defi gap: 0.36:   5%|▌         | 27/500 [04:38<1:21:06, 10.29s/it] 
Epoch 27 | postive loss : 4441.07, negtive prim loss : 948.22, negtive defi loss : 1170.32, worst lambd: 12514.56, worst prim gap: 0.34, worst defi gap: 0.35:   6%|▌         | 28/500 [04:49<1:20:54, 10.29s/it]
Epoch 28 | postive loss : 4242.46, negtive prim loss : 920.70, negtive defi loss : 1138.42, worst lambd: 11987.93, worst prim gap: 0.35, worst defi gap: 0.30:   6%|▌         | 29/500 [04:59<1:20:46, 10.29s/it]
Epoch 29 | postive loss : 4053.75, negtive prim loss : 894.01, negtive defi loss : 1107.12, worst lambd: 11398.45, worst prim gap: 0.35, worst defi gap: 0.30:   6%|▌         | 30/500 [05:09<1:20:37, 10.29s/it]
Epoch 30 | postive loss : 3874.14, negtive prim loss : 867.32, negtive defi loss : 1077.62, worst lambd: 10733.73, worst prim gap: 0.30, worst defi gap: 0.29:   6%|▌         | 31/500 [05:20<1:20:28, 10.30s/it]
Epoch 31 | postive loss : 3703.17, negtive prim loss : 842.51, negtive defi loss : 1048.73, worst lambd: 10365.26, worst prim gap: 0.24, worst defi gap: 0.23:   6%|▋         | 32/500 [05:30<1:20:20, 10.30s/it]
Epoch 32 | postive loss : 3539.99, negtive prim loss : 818.00, negtive defi loss : 1021.01, worst lambd: 9953.26, worst prim gap: 0.26, worst defi gap: 0.21:   7%|▋         | 33/500 [05:40<1:20:17, 10.32s/it] 
Epoch 33 | postive loss : 3384.21, negtive prim loss : 794.46, negtive defi loss : 993.95, worst lambd: 9382.31, worst prim gap: 0.20, worst defi gap: 0.26:   7%|▋         | 34/500 [05:51<1:20:05, 10.31s/it] 
Epoch 34 | postive loss : 3235.38, negtive prim loss : 771.63, negtive defi loss : 968.63, worst lambd: 9064.07, worst prim gap: 0.20, worst defi gap: 0.24:   7%|▋         | 35/500 [06:01<1:19:53, 10.31s/it]
